Komentar,Sentimen
Lokasi di mana ini,netral
Satu.an boleh gx,netral
Model nya genteng banget,positif
Bahannya apa ka,netral
Assalamualaikum,netral
Ukurn L masih ada GK kk,netral
Bahan apa,netral
"Baru beli, barangnya bagus",positif
barang yang dipake sangat sejuk,positif
merk apa?,netral
"Kemeja hitam polos kalo sama ongkir kira2 berapa ya, pengiriman Palembang ?",netral
Bahannya apa,netral
Apa bisa beli di sini atau harus lewat aplikasi sopie,netral
Cek harganya kk,netral
barang sesuai dengan gambar,positif
Beli di Shopee promo beli 3 nya ada gak kak?,netral
ditawar blh nggk,netral
Bahan nya apa min?,netral
Bisa COD tak,netral
Bagus kameja nya,positif
Mana link nya?,netral
Lengan pendek ada warna putih,netral
Cek harga,netral
Itu yg dpet 3 lngan panjang/pendek?,netral
Di sopi ada ga,netral
Bahan nya apa ya kk,netral
P,netral
"byk yg udh sold old, restock lgi dong min, sekalian tambah juga varian warnanya",positif
Slim atau reguler?,netral
Hitam gada ya,netral
Hitam pnjang m ada ga,netral
Msi ada koww,netral
Ini XXXL LD = 60cm gak kurang kak? Takut nanti pas datang dibawah 60cm alhasil g muat deh ..,netral
Bahannya panas ga,netral
Lokasi,netral
Link shopy nya?,netral
Bagus kemejanya,positif
Mau,positif
Saya mau orderan kak,positif
SLim apa reguler ukuran y kak?,netral
"Kira"" bisa bayar di tempat gk ya k?",netral
Minat kak,positif
Ada di tokped?,netral
Klo beli 1 berapa?,netral
dijalan kan,netral
Ada dishopee gak kak,netral
Bisa cod kah,netral
Ukuran xxl ada?,netral
Area mana ini,netral
Serius 3 segtu harganya,netral
kalo beli satuan boleh gak soalnya cmn prlu 1,positif
Link shopee ada,netral
Oke bosku,positif
No wa berapa kak.,netral
Ada di tokped kah?,netral
Msi ada ka,netral
Bisa cod kh kk,netral
Bahanya gampang lecek gk nieh,netral
Caranya gmna mas,netral
Barang sesuai Ama yg dipostingan ga kasar pakaiannya,positif
Trs bhan ny kyk ap cba klu hrga sgtu dpt 3,netral
Saya Peswn Ka,positif
hitam kosong ka?,netral
Bahannya dari apa minn,netral
Link shopee,netral
Belum ongkir,netral
Cek harga,netral
Jejak,netral
Ukuran L Ada kak?,netral
Spill shopenya,netral
Kalau beli satu harga nya berapa??,netral
Apa merek nya,netral
Ukuran yg xxxl ada gak ya.,netral
Gratis ongkir gak dan bisa cod,netral
Saya minat bos cek harganya,netral
Yang mau ini,positif
coba cek ini,positif
Like pp sya jika anda gbut,netral
Inboxin harga,netral
Harga berpa,netral
Harga,netral
Cek Harga,netral
Cek harga,netral
Ada sz S,netral
Bisakah satuan,netral
Bisa pesen dg desain beda bos? Mau nyari 15 pcs,netral
Bisa satuan gk,netral
Seperti ini berapa ya,netral
Cek harga,netral
Bisa satuan nggk,netral
Bisa Jersey basket gak?,netral
Yang kuning punggung 99 brpa atasan aja,netral
Untuk hrga berpan kk klo buat kaos tim nya,netral
Bisa bikin satu gak,netral
Minat,netral
Cek harga,netral
Ada link shopee kak,netral
Harga berapa kk,netral
Berapa selusin kak....,netral
Kak Jersey buat futsal harga berapa,netral
Model koas biasa bisa gk.motif desain sndri,netral
Ya g depan keren bos  berapa,positif
Saya mau jadi mitra min bisa gak,netral
Berapa ongkir sul-sel.baju Jersey gowes lengan panjang.size xxl,netral
Desain dari situ bisa ga? Saya cuman kirim contohnya aja,netral
Lokasi?,netral
Lokasi mana mas??,netral
Bisa bikin jersey 1 ga ? desain dr saya bisa ga ?,netral
Lokasi?,netral
Ada toko orange ?,netral
Berapa harganya,netral
Bahan yg bagus buat jersey badminton pake apa pak?,netral
Lokasi mana ?,netral
Ini produksinya di daerah mana.????,netral
Gimana caranya kalok jd member kak?,netral
Ada di harga brp kak?,netral
Berapa harga jersey otomotif kak?,netral
100 ribu dapet sperti apa?,netral
Lokasi?,netral
Setelan yg putih merah biru itu berapa ya?,netral
"Harga brp gan satuan,?",netral
Menarik.?,netral
Bisa sekalian edit ga kka?,netral
Pricelist nya dong,netral
Cek hrga,netral
Harga,netral
Satunya brpa,netral
Cek harga,netral
Bisa cod gk kak,netral
Cek harga kk,netral
Mantap bisa satuan ga ya,netral
Cara nya,netral
Brpa Aan kak,netral
Tokoh shoping ada kak?,netral
Satuan bisa ga?,netral
Satu an bisa gk,netral
Sayang nya ga bs cod,netral
Aman ga nih?,netral
Harganya brapa,netral
Sukses selalu,positif
kaos nya bikin nyaman,positif
Keren,positif
Cek,netral
"Bisa satuan saja kah, 1 set dgn celana nya ?",netral
Keren,positif
kita puas harga pas.,positif
Ceklok,netral
"Bsa cod, bisa ECER gk",netral
Ribet banget mesan nya,negatif
Berapa harga,netral
Bisa bayar cod ga,netral
sudah langganan.. harga kualitas mantap..,positif
Harga...,netral
Bisa bikin rompi bola,netral
Lokasi dmna min,netral
"bikin jersey timnas2 peserta pildun qatar dong, ntar aku beli kalo dah jual",netral
Basket ada,netral
Bisa g bikin 8 stel,netral
"Jossss, mantap",positif
Jarsey nya berapaan kak?,netral
Lok Bisa pake shoope or lazada... Klo cuma di fb maaf...,netral
Brapa ka,netral
Bebas ongkir y,netral
Satu ny Berapa an,netral
Alhamdulilah bisa berpartisifasi membangun bisnis di WJ,positif
Seperti berapa,netral
Minat,positif
kaos nya bagus,positif
Pengerjaan brp lama,netral
Liat semple yg kiri dong bos yg warna kuning,netral
Bisa bikin 1 stel aja gak,netral
Cek harga,netral
Mau dong,positif
Klo buat Jersey merpati bisa bng,netral
Bisa minta no wa,netral
Gimana cara pesen nya min,netral
pricelist nya ada?,netral
Yang buat anak sd,netral
Cek harga kak.???,netral
Lokasi,netral
"Bolehka yg kasih emot ketawa ke tim kesangan kita semua ini, kita bantai habis habisan",netral
Bisa cod,netral
Satuan bisa ngga,netral
Shoope atau tokped ada?,netral
Minta no wa nya bang,netral
Minta gbr.y jersi yg no 99,netral
yg bekerah ada model lain,netral
Per jersey brp ?,netral
Satuan bisa kah,netral
Lokasi di mana kak?,netral
Boleh liat gambar full baju yang warna item kuning sebelah kiri gk ka ??,netral
Cek Harga?,netral
Keren,positif
Per pcs kena brpa,netral
Sukses terus kak,netral
Cek harga,netral
Cek harga,netral
Harga,netral
Bisa satuan ga ya kak?,netral
Cek,netral
Yang ditengah ITU jersey APA bng,netral
aku sudah chat tapi belum dibalas2 adminnya kak,negatif
Kalo mau bikin brapaan yah ka,netral
Cod ?,netral
Tangan panjang brpa,netral
Cek,netral
minat,positif
Masih kk,netral
Yg paling depan berapa,netral
Punya link shopee min?,netral
Satuan bisa dan berapa,netral
Lokasi di mana bos,netral
Harga n lokasi mana ya om,netral
Bisa bikin satuan?,netral
Bagai mana cara pemesanan atau mau cek harga,netral
jersey valencia-2003 bisa kah ??  pesan satuan,netral
Ada desain Jersey bola warna ping,netral
Cek harga yang jersey paling depan,netral
cek harga dan bahan,netral
Kalau ambil 14pcs. Langsung celana + name club' + nomor + logo club' + name coach . Berapa kak?? Kalau keep berapa hari jadi nya? Saya dari Bali kak,netral
Bs no wa.mau mesan skrg,netral
byr d tempat,netral
Keren nih...pakai Brand kita sendiri,positif
Alamat bosku ?,netral
Cara daftar jadi mitra,netral
Link shopee ?,netral
Ada toko onlineNya Kak????,netral
Bikin jersy satuan bisa kak,netral
Cek harga per   satuanya boskuuu,netral
Yang minta silahkan 0895394196500 inbox gpp,netral
Bisa PM pricelist dan desain jersey buat seragam olahraga kantor ?,netral
pesan di  yuk harga setelan 140 ribu jersey premium,netral
Cek harga bos liga jepang,netral
kaosnya cukup bagus,positif
